Box	Folder	Item	Accession number	Title	Play dates	Year	Written by	Directed by	Company	Notes	Multiplay	Non-Theatrical	Era
13	150	1	dra037-s01-b013-f150-i01-p0001	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0002	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0003	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0004	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0005	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0006	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0007	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0008	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0009	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0010	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0011	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0012	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0013	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0014	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0015	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0016	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0017	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0018	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0019	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0020	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0021	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	1	dra037-s01-b013-f150-i01-p0022	The Glass Menagerie	Mar 18-Apr 10	1999	"Williams, Tennessee "	"Chaikin, Joseph"	Yale Repertory Theatre				stan_wojewodski
13	150	2	dra037-s01-b013-f150-i02-p0001	Life is a Dream	Apr. 26-May 1	1999	"de la Barca, Pedro Calderon "	"Stevens, K. Elizabeth "	Yale School of Drama				stan_wojewodski
13	150	2	dra037-s01-b013-f150-i02-p0002	Life is a Dream	Apr. 26-May 1	1999	"de la Barca, Pedro Calderon "	"Stevens, K. Elizabeth "	Yale School of Drama				stan_wojewodski
13	150	2	dra037-s01-b013-f150-i02-p0003	Life is a Dream	Apr. 26-May 1	1999	"de la Barca, Pedro Calderon "	"Stevens, K. Elizabeth "	Yale School of Drama				stan_wojewodski
13	150	2	dra037-s01-b013-f150-i02-p0004	Life is a Dream	Apr. 26-May 1	1999	"de la Barca, Pedro Calderon "	"Stevens, K. Elizabeth "	Yale School of Drama				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0001	Hay Fever	Apr 29-May 22	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0002	Hay Fever	Apr 29-May 23	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0003	Hay Fever	Apr 29-May 24	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0004	Hay Fever	Apr 29-May 25	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0005	Hay Fever	Apr 29-May 26	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0006	Hay Fever	Apr 29-May 27	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0007	Hay Fever	Apr 29-May 28	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0008	Hay Fever	Apr 29-May 29	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0009	Hay Fever	Apr 29-May 30	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0010	Hay Fever	Apr 29-May 31	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0011	Hay Fever	Apr 29-May 32	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0012	Hay Fever	Apr 29-May 33	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0013	Hay Fever	Apr 29-May 34	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0014	Hay Fever	Apr 29-May 35	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
