Box	Folder	Filename	Title	Play dates	Year	Written by	Directed by	Company	Location	Notes	Multiplay	Non-Theatrical	Era	also scanned
		YRT_2008-09_passion-0000	Passion Play	Sep. 19 - Oct. 11	2008	"Ruhl, Sarah"	"Wing-Davey, Mark"	Yale Repertory Theatre	"Yale Repertory Theatre, University Theatre"				james_bundy	Y
		YRT_2008-09_passion-0001	Passion Play	Sep. 19 - Oct. 11	2008	"Ruhl, Sarah"	"Wing-Davey, Mark"	Yale Repertory Theatre	"Yale Repertory Theatre, University Theatre"				james_bundy	Y
		YRT_2008-09_passion-0002	Passion Play	Sep. 19 - Oct. 11	2008	"Ruhl, Sarah"	"Wing-Davey, Mark"	Yale Repertory Theatre	"Yale Repertory Theatre, University Theatre"				james_bundy	Y
		YRT_2008-09_passion-0003	Passion Play	Sep. 19 - Oct. 11	2008	"Ruhl, Sarah"	"Wing-Davey, Mark"	Yale Repertory Theatre	"Yale Repertory Theatre, University Theatre"				james_bundy	Y
		YRT_2008-09_passion-0004	Passion Play	Sep. 19 - Oct. 11	2008	"Ruhl, Sarah"	"Wing-Davey, Mark"	Yale Repertory Theatre	"Yale Repertory Theatre, University Theatre"				james_bundy	Y
		YRT_2008-09_passion-0005	Passion Play	Sep. 19 - Oct. 11	2008	"Ruhl, Sarah"	"Wing-Davey, Mark"	Yale Repertory Theatre	"Yale Repertory Theatre, University Theatre"				james_bundy	Y
		YRT_2008-09_passion-0006	Passion Play	Sep. 19 - Oct. 11	2008	"Ruhl, Sarah"	"Wing-Davey, Mark"	Yale Repertory Theatre	"Yale Repertory Theatre, University Theatre"				james_bundy	Y
		YRT_2008-09_passion-0007	Passion Play	Sep. 19 - Oct. 11	2008	"Ruhl, Sarah"	"Wing-Davey, Mark"	Yale Repertory Theatre	"Yale Repertory Theatre, University Theatre"				james_bundy	Y
		YRT_2008-09_passion-0008	Passion Play	Sep. 19 - Oct. 11	2008	"Ruhl, Sarah"	"Wing-Davey, Mark"	Yale Repertory Theatre	"Yale Repertory Theatre, University Theatre"				james_bundy	Y
		YRT_2008-09_passion-0009	Passion Play	Sep. 19 - Oct. 11	2008	"Ruhl, Sarah"	"Wing-Davey, Mark"	Yale Repertory Theatre	"Yale Repertory Theatre, University Theatre"				james_bundy	Y
		YRT_2008-09_passion-0010	Passion Play	Sep. 19 - Oct. 11	2008	"Ruhl, Sarah"	"Wing-Davey, Mark"	Yale Repertory Theatre	"Yale Repertory Theatre, University Theatre"				james_bundy	Y
		YRT_2008-09_passion-0011	Passion Play	Sep. 19 - Oct. 11	2008	"Ruhl, Sarah"	"Wing-Davey, Mark"	Yale Repertory Theatre	"Yale Repertory Theatre, University Theatre"				james_bundy	Y
		YRT_2008-09_passion-0012	Passion Play	Sep. 19 - Oct. 11	2008	"Ruhl, Sarah"	"Wing-Davey, Mark"	Yale Repertory Theatre	"Yale Repertory Theatre, University Theatre"				james_bundy	Y
		YRT_2008-09_passion-0013	Passion Play	Sep. 19 - Oct. 11	2008	"Ruhl, Sarah"	"Wing-Davey, Mark"	Yale Repertory Theatre	"Yale Repertory Theatre, University Theatre"				james_bundy	Y
