file_path,thumbnail,width,height,page_no,set_key,year,written_by,director,location
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f001-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f001-i02-p0001.jpg,1479,2048,1,dra037-s01-b001-f001-i02,1926,"Smith, Boyd M.",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f001-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f001-i02-p0002.jpg,1398,2048,2,dra037-s01-b001-f001-i02,1926,"Smith, Boyd M.",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f001-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f001-i02-p0003.jpg,2048,1493,3,dra037-s01-b001-f001-i02,1926,"Smith, Boyd M.",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f001-i05-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f001-i05-p0001.jpg,1264,1836,1,dra037-s01-b001-f001-i05,1926,"Williams, Claire",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f001-i05-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f001-i05-p0002.jpg,2048,1487,2,dra037-s01-b001-f001-i05,1926,"Williams, Claire",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f002-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f002-i01-p0001.jpg,1489,2048,1,dra037-s01-b001-f002-i01,1926,"Massey, Edward",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f002-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f002-i03-p0001.jpg,1314,2048,1,dra037-s01-b001-f002-i03,1926,"Smith, Boyd M.",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f002-i03-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f002-i03-p0002.jpg,2048,1576,2,dra037-s01-b001-f002-i03,1926,"Smith, Boyd M.",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f002-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f002-i04-p0001.jpg,1025,2048,1,dra037-s01-b001-f002-i04,1927,"Wade, Leila A.",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f002-i04-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f002-i04-p0002.jpg,2048,2043,2,dra037-s01-b001-f002-i04,1927,"Wade, Leila A.",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f002-i05-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f002-i05-p0001.jpg,1325,2048,1,dra037-s01-b001-f002-i05,1927,"Smith, Boyd M.",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f002-i05-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f002-i05-p0002.jpg,2048,1581,2,dra037-s01-b001-f002-i05,1927,"Smith, Boyd M.",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f002-i05-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f002-i05-p0003.jpg,1350,2048,3,dra037-s01-b001-f002-i05,1927,"Smith, Boyd M.",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f002-i06-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f002-i06-p0001.jpg,1318,2048,1,dra037-s01-b001-f002-i06,1927,"Wade, Leila A.",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f002-i06-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f002-i06-p0002.jpg,2048,1580,2,dra037-s01-b001-f002-i06,1927,"Wade, Leila A.",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f002-i06-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f002-i06-p0003.jpg,1301,2048,3,dra037-s01-b001-f002-i06,1927,"Wade, Leila A.",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i01-p0001.jpg,1581,2048,1,dra037-s01-b001-f003-i01,1927,"Esler, Lemist",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i01-p0002.jpg,2048,1565,2,dra037-s01-b001-f003-i01,1927,"Esler, Lemist",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i01-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i01-p0003.jpg,1329,2048,3,dra037-s01-b001-f003-i01,1927,"Esler, Lemist",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i02-p0001.jpg,1335,2048,1,dra037-s01-b001-f003-i02,1927,"Esler, Lemist",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i02-p0002.jpg,1328,2048,2,dra037-s01-b001-f003-i02,1927,"Esler, Lemist",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i03-p0001.jpg,1252,2048,1,dra037-s01-b001-f003-i03,1927,"Esler, Lemist",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i06-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i06-p0001.jpg,1272,2048,1,dra037-s01-b001-f003-i06,1927,J. Wong-Quincey,,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i06-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i06-p0002.jpg,2048,1573,2,dra037-s01-b001-f003-i06,1927,J. Wong-Quincey,,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i06-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i06-p0003.jpg,1316,2048,3,dra037-s01-b001-f003-i06,1927,J. Wong-Quincey,,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i01-p0001.jpg,1581,2048,1,dra037-s01-b001-f003-i01,1927,"Humphrey, Maude",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f003-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f003-i01-p0002.jpg,2048,1565,2,dra037-s01-b001-f003-i01,1927,"Humphrey, Maude",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f004-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f004-i02-p0001.jpg,1325,2048,1,dra037-s01-b001-f004-i02,1927,"Littleton, Covington",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f004-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f004-i02-p0002.jpg,2048,1570,2,dra037-s01-b001-f004-i02,1927,"Littleton, Covington",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f004-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f004-i02-p0003.jpg,1329,2048,3,dra037-s01-b001-f004-i02,1927,"Littleton, Covington",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f004-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f004-i04-p0001.jpg,1330,2048,1,dra037-s01-b001-f004-i04,1928,"Clugston, Katharine",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f004-i04-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f004-i04-p0002.jpg,2048,1571,2,dra037-s01-b001-f004-i04,1928,"Clugston, Katharine",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f004-i05-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f004-i05-p0001.jpg,1244,2048,1,dra037-s01-b001-f004-i05,1928,"Littleton, Covington",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f004-i05-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f004-i05-p0002.jpg,2048,1576,2,dra037-s01-b001-f004-i05,1928,"Littleton, Covington",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f004-i06-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f004-i06-p0001.jpg,1387,2048,1,dra037-s01-b001-f004-i06,1928,"Chekov, Anton",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f004-i06-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f004-i06-p0002.jpg,2048,1488,2,dra037-s01-b001-f004-i06,1928,"Chekov, Anton",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f004-i06-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f004-i06-p0003.jpg,1409,2048,3,dra037-s01-b001-f004-i06,1928,"Chekov, Anton",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f004-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f004-i07-p0001.jpg,1279,2048,1,dra037-s01-b001-f004-i07,1928,"Clugston, Katharine",,"Yale School of Drama, Yale Repertory Theatre"
