file_path,thumbnail,width,height,page_no,set_key,year,written_by,director,location
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f048-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f048-i01-p0001.jpg,1071,2048,1,edward_c_cole,1965,,Leland Starnes,Yale University Dramatic Association
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f048-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f048-i01-p0002.jpg,1050,2048,2,edward_c_cole,1965,,Leland Starnes,Yale University Dramatic Association
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f048-i01-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f048-i01-p0003.jpg,1073,2048,3,edward_c_cole,1965,,Leland Starnes,Yale University Dramatic Association
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f048-i01-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f048-i01-p0004.jpg,1031,2048,4,edward_c_cole,1965,,Leland Starnes,Yale University Dramatic Association
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f048-i01-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f048-i01-p0005.jpg,1039,2048,5,edward_c_cole,1965,,Leland Starnes,Yale University Dramatic Association
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f048-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f048-i02-p0001.jpg,1365,2048,1,edward_c_cole,1965,"Fairchild, William",Leland Starnes,Yale University Dramatic Association
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f048-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f048-i02-p0002.jpg,1350,2048,2,edward_c_cole,1965,"Fairchild, William",Leland Starnes,Yale University Dramatic Association
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f048-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f048-i02-p0003.jpg,1363,2048,3,edward_c_cole,1965,"Fairchild, William",Leland Starnes,Yale University Dramatic Association
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f048-i02-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f048-i02-p0004.jpg,1384,2048,4,edward_c_cole,1965,"Fairchild, William",Leland Starnes,Yale University Dramatic Association
http://hcremacmini01.library.yale.edu/images/dra037-s01-b003-f048-i02-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b003-f048-i02-p0005.jpg,1349,2048,5,edward_c_cole,1965,"Fairchild, William",Leland Starnes,Yale University Dramatic Association
