file_path,thumbnail,width,height,page_no,set_key,year,written_by,director,location
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f027-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f027-i01-p0001.jpg,1539,2048,1,dra037-s01-b002-f027-i01,1953,"Shaw, George Bernard",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f027-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f027-i02-p0001.jpg,1353,2048,1,dra037-s01-b002-f027-i02,1953,"Snyder, William|Hill, Hugh",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f027-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f027-i02-p0002.jpg,2048,1513,2,dra037-s01-b002-f027-i02,1953,"Snyder, William|Hill, Hugh",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f027-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f027-i02-p0003.jpg,2048,1546,3,dra037-s01-b002-f027-i02,1953,"Snyder, William|Hill, Hugh",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f027-i02-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f027-i02-p0004.jpg,2048,1529,4,dra037-s01-b002-f027-i02,1953,"Snyder, William|Hill, Hugh",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f027-i02-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f027-i02-p0005.jpg,2048,1546,5,dra037-s01-b002-f027-i02,1953,"Snyder, William|Hill, Hugh",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f027-i02-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f027-i02-p0006.jpg,2048,1546,6,dra037-s01-b002-f027-i02,1953,"Snyder, William|Hill, Hugh",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f027-i02-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f027-i02-p0007.jpg,2048,1546,7,dra037-s01-b002-f027-i02,1953,"Snyder, William|Hill, Hugh",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f027-i02-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f027-i02-p0008.jpg,2048,1550,8,dra037-s01-b002-f027-i02,1953,"Snyder, William|Hill, Hugh",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f027-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f027-i03-p0001.jpg,1564,2048,1,dra037-s01-b002-f027-i03,1953,"Beaumont, F.",,"Yale School of Drama, Yale Repertory Theatre"
