file_path,thumbnail,width,height,page_no,set_key,year,written_by,director,location
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i01-p0001.jpg,1360,2048,1,dra037-s01-b004-f053-i01,1966,"Beckett, Samuel",Andre Gregory,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i01-p0002.jpg,1394,2048,2,dra037-s01-b004-f053-i01,1966,"Beckett, Samuel",Andre Gregory,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i01-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i01-p0003.jpg,1348,2048,3,dra037-s01-b004-f053-i01,1966,"Beckett, Samuel",Andre Gregory,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i01-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i01-p0004.jpg,1355,2048,4,dra037-s01-b004-f053-i01,1966,"Beckett, Samuel",Andre Gregory,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i02-p0001.jpg,1368,2048,1,dra037-s01-b004-f053-i02,1966,"Terry, Megan",Megan Terry,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i02-p0002.jpg,1375,2048,2,dra037-s01-b004-f053-i02,1966,"Terry, Megan",Megan Terry,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i02-p0003.jpg,1370,2048,3,dra037-s01-b004-f053-i02,1966,"Terry, Megan",Megan Terry,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i02-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i02-p0004.jpg,1368,2048,4,dra037-s01-b004-f053-i02,1966,"Terry, Megan",Megan Terry,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i02-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i02-p0005.jpg,1368,2048,5,dra037-s01-b004-f053-i02,1966,"Terry, Megan",Megan Terry,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i02-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i02-p0006.jpg,2048,1527,6,dra037-s01-b004-f053-i02,1966,"Terry, Megan",Megan Terry,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i02-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i02-p0007.jpg,1380,2048,7,dra037-s01-b004-f053-i02,1966,"Terry, Megan",Megan Terry,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i02-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i02-p0008.jpg,1360,2048,8,dra037-s01-b004-f053-i02,1966,"Terry, Megan",Megan Terry,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i02-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i02-p0009.jpg,1370,2048,9,dra037-s01-b004-f053-i02,1966,"Terry, Megan",Megan Terry,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i02-p0010.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i02-p0010.jpg,1354,2048,1,dra037-s01-b004-f053-i02,1966,"Terry, Megan",Megan Terry,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i02-p0011.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i02-p0011.jpg,1362,2048,11,dra037-s01-b004-f053-i02,1966,"Terry, Megan",Megan Terry,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i03-p0001.jpg,1367,2048,1,dra037-s01-b004-f053-i03,1966,"Pinter, Harold",Christie Dickason,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i03-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i03-p0002.jpg,1369,2048,2,dra037-s01-b004-f053-i03,1966,"Pinter, Harold",Christie Dickason,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i03-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i03-p0003.jpg,1355,2048,3,dra037-s01-b004-f053-i03,1966,"Pinter, Harold",Christie Dickason,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b004-f053-i03-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b004-f053-i03-p0004.jpg,1358,2048,4,dra037-s01-b004-f053-i03,1966,"Pinter, Harold",Christie Dickason,"Yale School of Drama, Yale Repertory Theatre"
