Box,Folder,item,accession number,Title,Play dates,Year,Written by,Director,Location,Notes,Multiplay,Non-Theatrical,era,era,height,width
1,1,2,dra037-s01-b001-f001-i02-p0001,The Patriarch,Feb. 12,1926,"""Smith, Boyd M.""",,"""Yale  School of Drama, Yale Repertory Theatre""",The 47 Workshop ,,,,department_of_drama,2048,1479
1,1,2,dra037-s01-b001-f001-i02-p0002,The Patriarch,Feb. 12,1926,"""Smith, Boyd M.""",,"""Yale  School of Drama, Yale Repertory Theatre""",The 47 Workshop ,,,,department_of_drama,2048,1398
1,1,2,dra037-s01-b001-f001-i02-p0003,The Patriarch,Feb. 12,1926,"""Smith, Boyd M.""",,"""Yale  School of Drama, Yale Repertory Theatre""",The 47 Workshop ,,,,department_of_drama,1493,2048
1,1,5,dra037-s01-b001-f001-i05-p0001,The Best Cellar,May 24-28,1926,"""Williams, Claire""",,"""Yale  School of Drama, Yale Repertory Theatre""",The 47 Workshop ,,,,department_of_drama,1836,1264
1,1,5,dra037-s01-b001-f001-i05-p0002,The Best Cellar,May 24-28,1926,"""Williams, Claire""",,"""Yale  School of Drama, Yale Repertory Theatre""",The 47 Workshop ,,,,department_of_drama,1487,2048
1,2,1,dra037-s01-b001-f002-i01-p0001,Plots and Playwrights,Oct. 26-29,1926,"""Massey, Edward""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1489
1,2,3,dra037-s01-b001-f002-i03-p0001,The Patriarch,Dec. 13,1926,"""Smith, Boyd M.""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1314
1,2,3,dra037-s01-b001-f002-i03-p0002,The Patriarch,Dec. 13,1926,"""Smith, Boyd M.""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1576,2048
1,2,4,dra037-s01-b001-f002-i04-p0001,Lazy,Jan. 31 & Feb. 1-3,1927,"""Wade, Leila A.""",,"""Yale  School of Drama, Yale Repertory Theatre""",The 47 Workshop ,,,,department_of_drama,2048,1025
1,2,4,dra037-s01-b001-f002-i04-p0002,Lazy,Jan. 31 & Feb. 1-3,1927,"""Wade, Leila A.""",,"""Yale  School of Drama, Yale Repertory Theatre""",The 47 Workshop ,,,,department_of_drama,2043,2048
1,2,5,dra037-s01-b001-f002-i05-p0001,The Patriarch,Feb. 12,1927,"""Smith, Boyd M.""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1325
1,2,5,dra037-s01-b001-f002-i05-p0002,The Patriarch,Feb. 12,1927,"""Smith, Boyd M.""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1581,2048
1,2,5,dra037-s01-b001-f002-i05-p0003,The Patriarch,Feb. 12,1927,"""Smith, Boyd M.""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1350
1,2,6,dra037-s01-b001-f002-i06-p0001,Lazy,Feb. 22,1927,"""Wade, Leila A.""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1318
1,2,6,dra037-s01-b001-f002-i06-p0002,Lazy,Feb. 22,1927,"""Wade, Leila A.""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1580,2048
1,2,6,dra037-s01-b001-f002-i06-p0003,Lazy,Feb. 22,1927,"""Wade, Leila A.""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1301
1,3,1,dra037-s01-b001-f003-i01-p0001,Machiavelly ,Apr. 30,1927,"""Esler, Lemist""",,"""Yale  School of Drama, Yale Repertory Theatre""",For the public performance. Play in three acts and eight scenes.,,,,department_of_drama,2048,1581
1,3,1,dra037-s01-b001-f003-i01-p0002,Machiavelly ,Apr. 30,1927,"""Esler, Lemist""",,"""Yale  School of Drama, Yale Repertory Theatre""",For the public performance. Play in three acts and eight scenes.,,,,department_of_drama,1565,2048
1,3,1,dra037-s01-b001-f003-i01-p0003,Machiavelly ,Apr. 30,1927,"""Esler, Lemist""",,"""Yale  School of Drama, Yale Repertory Theatre""",For the public performance. Play in three acts and eight scenes.,,,,department_of_drama,2048,1329
1,3,2,dra037-s01-b001-f003-i02-p0001,Machiavelly ,Apr. 29,1927,"""Esler, Lemist""",,"""Yale  School of Drama, Yale Repertory Theatre""",Play in three acts and eight scenes.,,,,department_of_drama,2048,1335
1,3,2,dra037-s01-b001-f003-i02-p0002,Machiavelly ,Apr. 28,1927,"""Esler, Lemist""",,"""Yale  School of Drama, Yale Repertory Theatre""",Play in three acts and eight scenes.,,,,department_of_drama,2048,1328
1,3,3,dra037-s01-b001-f003-i03-p0001,Machiavelly ,Apr. 30,1927,"""Esler, Lemist""",,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1252
