file_path,thumbnail,width,height,page_no,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f031-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f031-i01-p0001.jpg,819,2048,1,dra037-s01-b002-f031-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f031-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f031-i02-p0001.jpg,833,2048,1,dra037-s01-b002-f031-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f031-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f031-i03-p0001.jpg,1368,2048,1,dra037-s01-b002-f031-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f031-i03-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f031-i03-p0002.jpg,2048,1548,2,dra037-s01-b002-f031-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f031-i03-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f031-i03-p0003.jpg,2048,1548,3,dra037-s01-b002-f031-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f031-i03-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f031-i03-p0004.jpg,2048,1548,4,dra037-s01-b002-f031-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f031-i03-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f031-i03-p0005.jpg,2048,1548,5,dra037-s01-b002-f031-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f031-i03-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f031-i03-p0006.jpg,2048,1548,6,dra037-s01-b002-f031-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f031-i03-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f031-i03-p0007.jpg,2048,1556,7,dra037-s01-b002-f031-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f031-i03-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f031-i03-p0008.jpg,2048,1549,8,dra037-s01-b002-f031-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f031-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f031-i04-p0001.jpg,1380,2048,1,dra037-s01-b002-f031-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f031-i04-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f031-i04-p0002.jpg,2048,1522,2,dra037-s01-b002-f031-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f031-i04-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f031-i04-p0003.jpg,2048,1522,3,dra037-s01-b002-f031-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f031-i04-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f031-i04-p0004.jpg,2048,1522,4,dra037-s01-b002-f031-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f031-i04-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f031-i04-p0005.jpg,2048,1522,5,dra037-s01-b002-f031-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f031-i04-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f031-i04-p0006.jpg,2048,1516,6,dra037-s01-b002-f031-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f031-i04-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f031-i04-p0007.jpg,2048,1522,7,dra037-s01-b002-f031-i04
