file_path,thumbnail,width,height,page_no,set_key,year
http://hcremacmini01.library.yale.edu/images/dra037-s01-b017-f227-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b017-f227-i01-p0001.jpg,1570,2048,1,dra037-s01-b017-f227-i01,1991
http://hcremacmini01.library.yale.edu/images/dra037-s01-b017-f227-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b017-f227-i02-p0001.jpg,907,2048,1,dra037-s01-b017-f227-i02,1980
http://hcremacmini01.library.yale.edu/images/dra037-s01-b017-f227-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b017-f227-i02-p0002.jpg,907,2048,2,dra037-s01-b017-f227-i02,1944
http://hcremacmini01.library.yale.edu/images/dra037-s01-b017-f227-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b017-f227-i02-p0003.jpg,907,2048,3,dra037-s01-b017-f227-i02,1989
http://hcremacmini01.library.yale.edu/images/dra037-s01-b017-f227-i02-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b017-f227-i02-p0004.jpg,907,2048,4,dra037-s01-b017-f227-i02,1993
http://hcremacmini01.library.yale.edu/images/dra037-s01-b017-f227-i02-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b017-f227-i02-p0005.jpg,903,2048,5,dra037-s01-b017-f227-i02,1924
http://hcremacmini01.library.yale.edu/images/dra037-s01-b017-f227-i02-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b017-f227-i02-p0006.jpg,903,2048,6,dra037-s01-b017-f227-i02,1916
http://hcremacmini01.library.yale.edu/images/dra037-s01-b017-f227-i02-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b017-f227-i02-p0007.jpg,903,2048,7,dra037-s01-b017-f227-i02,1916
http://hcremacmini01.library.yale.edu/images/dra037-s01-b017-f227-i02-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b017-f227-i02-p0008.jpg,903,2048,8,dra037-s01-b017-f227-i02,1929
http://hcremacmini01.library.yale.edu/images/dra037-s01-b017-f227-i02-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b017-f227-i02-p0009.jpg,887,2048,9,dra037-s01-b017-f227-i02,1958
http://hcremacmini01.library.yale.edu/images/dra037-s01-b017-f227-i02-p0010.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b017-f227-i02-p0010.jpg,887,2048,10,dra037-s01-b017-f227-i02,1940
http://hcremacmini01.library.yale.edu/images/dra037-s01-b017-f227-i02-p0011.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b017-f227-i02-p0011.jpg,887,2048,11,dra037-s01-b017-f227-i02,1985
http://hcremacmini01.library.yale.edu/images/dra037-s01-b017-f227-i02-p0012.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b017-f227-i02-p0012.jpg,887,2048,12,dra037-s01-b017-f227-i02,1934
http://hcremacmini01.library.yale.edu/images/dra037-s01-b017-f227-i02-p0013.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b017-f227-i02-p0013.jpg,887,2048,13,dra037-s01-b017-f227-i02,1984
http://hcremacmini01.library.yale.edu/images/dra037-s01-b017-f227-i02-p0014.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b017-f227-i02-p0014.jpg,887,2048,14,dra037-s01-b017-f227-i02,1988
