file_path,thumbnail,width,height,page_no,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f009-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f009-i01-p0001.jpg,1314,2048,1,dra037-s01-b001-f009-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f009-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f009-i01-p0002.jpg,2048,1613,2,dra037-s01-b001-f009-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f009-i10-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f009-i10-p0001.jpg,2048,1995,1,dra037-s01-b001-f009-i10
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f009-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f009-i02-p0001.jpg,987,2048,1,dra037-s01-b001-f009-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f009-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f009-i03-p0001.jpg,1379,2048,1,dra037-s01-b001-f009-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f009-i03-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f009-i03-p0002.jpg,2048,1472,2,dra037-s01-b001-f009-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f009-i03-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f009-i03-p0003.jpg,1421,2048,3,dra037-s01-b001-f009-i03
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f009-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f009-i04-p0001.jpg,1124,2048,1,dra037-s01-b001-f009-i04
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f009-i05-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f009-i05-p0001.jpg,686,2048,1,dra037-s01-b001-f009-i05
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f009-i06-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f009-i06-p0001.jpg,1534,2048,1,dra037-s01-b001-f009-i06
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f009-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f009-i07-p0001.jpg,774,2048,1,dra037-s01-b001-f009-i07
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f009-i08-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f009-i08-p0001.jpg,928,2048,1,dra037-s01-b001-f009-i08
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f009-i09-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f009-i09-p0001.jpg,1066,2048,1,dra037-s01-b001-f009-i09
