file_path,thumbnail,width,height,page_no,set_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0001.jpg,1012,2048,1,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0002.jpg,1025,2048,2,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0003.jpg,1011,2048,3,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0004.jpg,1011,2048,4,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0005.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0005.jpg,1013,2048,5,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0006.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0006.jpg,1025,2048,6,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0007.jpg,997,2048,7,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0008.jpg,1014,2048,8,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0009.jpg,1005,2048,9,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0010.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0010.jpg,2020,2048,10,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0011.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0011.jpg,1012,2048,11,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0012.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0012.jpg,1012,2048,12,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0013.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0013.jpg,1012,2048,13,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0014.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0014.jpg,999,2048,14,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0015.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0015.jpg,1012,2048,15,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0016.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0016.jpg,1012,2048,16,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0017.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0017.jpg,999,2048,17,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i01-p0018.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i01-p0018.jpg,987,2048,18,dra037-s01-b005-f061-i01
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i02-p0001.jpg,1394,2048,1,dra037-s01-b005-f061-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i02-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i02-p0002.jpg,909,2048,2,dra037-s01-b005-f061-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i02-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i02-p0003.jpg,1404,2048,3,dra037-s01-b005-f061-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i02-p0004.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i02-p0004.jpg,1384,2048,4,dra037-s01-b005-f061-i02
http://hcremacmini01.library.yale.edu/images/dra037-s01-b005-f061-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b005-f061-i03-p0001.jpg,663,2048,1,dra037-s01-b005-f061-i03
