file_path,thumbnail,width,height,page_no,set_key,year,written_by,director,location,group_key
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f017-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f017-i01-p0001.jpg,1316,2048,1,dra037-s01-b001-f017-i01,1947,,,"Yale School of Drama, Yale Repertory Theatre",boyd_m_smith
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f017-i01-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f017-i01-p0002.jpg,2048,1581,2,dra037-s01-b001-f017-i01,1947,,,"Yale School of Drama, Yale Repertory Theatre",boyd_m_smith
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f017-i01-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f017-i01-p0003.jpg,1251,2048,3,dra037-s01-b001-f017-i01,1947,,,"Yale School of Drama, Yale Repertory Theatre",boyd_m_smith
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f017-i02-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f017-i02-p0001.jpg,1456,2048,1,dra037-s01-b001-f017-i02,1947,"Barry, Philip",,"Yale School of Drama, Yale Repertory Theatre",boyd_m_smith
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f017-i03-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f017-i03-p0001.jpg,819,2048,1,dra037-s01-b001-f017-i03,1947,"Smith, Betty",Frank McMullan,"Yale School of Drama, Yale Repertory Theatre",boyd_m_smith
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f017-i03-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f017-i03-p0002.jpg,1025,2048,2,dra037-s01-b001-f017-i03,1947,"Smith, Betty",Frank McMullan,"Yale School of Drama, Yale Repertory Theatre",boyd_m_smith
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f017-i04-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f017-i04-p0001.jpg,1473,2048,1,dra037-s01-b001-f017-i04,1947,"Bates, John McKinney",,"Yale School of Drama, Yale Repertory Theatre",boyd_m_smith
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f025-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f025-i07-p0001.jpg,1572,2048,1,dra037-s01-b002-f025-i07,1953,"O'Casey, Sean",,"Yale School of Drama, Yale Repertory Theatre",boyd_m_smith
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f025-i08-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f025-i08-p0001.jpg,1350,2048,1,dra037-s01-b002-f025-i08,1953,"Martinu, Bohuslav|Purcell, Henry",,"Yale School of Drama, Yale Repertory Theatre",boyd_m_smith
http://hcremacmini01.library.yale.edu/images/dra037-s01-b002-f025-i08-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b002-f025-i08-p0002.jpg,2048,1548,2,dra037-s01-b002-f025-i08,1953,"Martinu, Bohuslav|Purcell, Henry",,"Yale School of Drama, Yale Repertory Theatre",boyd_m_smith
