key,name,description,cover_image_url,external_url,start_year,stop_year,retire_count
b1f1,Box 1 Folder 1,1925-1926,b1f1.jpg,,1925,1926,99
b1f2-3,Box 1 Folder 2-3,1926-1927,b1f2-3.jpg,,1926,1927,99
b1f4-5,Box 1 Folder 4-5,1927-1928,b1f4-5.jpg,,1927,1928,99
b1f6,Box 1 Folder 6,1928-1929,b1f6.jpg,,1928,1929,99
b1f7,Box 1 Folder 7,1929-1930,b1f7.jpg,,1929,1930,99
b1f8,Box 1 Folder 8,1930-1931,b1f8.jpg,,1930,1931,99
b1f9,Box 1 Folder 9,1931-1933,b1f9.jpg,,1931,1933,99
b1f10,Box 1 Folder 10,1933-1934,b1f10.jpg,,1933,1934,99
b1f11,Box 1 Folder 11,1934-1935,b1f11.jpg,,1934,1935,99
b1f12,Box 1 Folder 12,1935-1937,b1f12.jpg,,1935,1937,99
b1f13,Box 1 Folder 13,1937-1940,b1f13.jpg,,1937,1940,99
b1f14,Box 1 Folder 14,1940-1942,b1f14.jpg,,1940,1942,99
b1f15,Box 1 Folder 15,1942-1945,b1f15.jpg,,1942,1945,99
b1f16,Box 1 Folder 16,1945-1947,b1f16.jpg,,1945,1947,99
b1f17,Box 1 Folder 17,1947-1948,b1f17.jpg,,1947,1948,99
b1f18-19,Box 1 Folder 18-19,1948-1949,b1f18-19.jpg,,1948,1949,99
b1f20,Box 1 Folder 20,1949-1950,b1f20.jpg,,1949,1950,99
b2f21-22,Box 2 Folder 21-22,1950-1951,b2f21-22.jpg,,1950,1951,99
b2f23-24,Box 2 Folder 23-24,1951-1952,b2f23-24.jpg,,1951,1952,99
b2f25-26,Box 2 Folder 25-26,1952-1953,b2f25-26.jpg,,1952,1953,99
b2f27,Box 2 Folder 27,1953-1954,b2f27.jpg,,1953,1954,99
b2f28-29,Box 2 Folder 28-29,1954-1955,b2f28-29.jpg,,1954,1955,99
b2f30,Box 2 Folder 30,1955-1956,b2f30.jpg,,1955,1956,99
b2f31,Box 2 Folder 31,1956-1957,b2f31.jpg,,1956,1957,99
b2f32,Box 2 Folder 32,1957-1958,b2f32.jpg,,1957,1958,99
b2f33,Box 2 Folder 33,1958-1959,b2f33.jpg,,1958,1959,99
b2f34,Box 2 Folder 34,1959-1960,b2f34.jpg,,1959,1960,99
b2f35-36,Box 2 Folder 35-36,1960-1961,b2f35-36.jpg,,1960,1961,99
b3f37-38,Box 3 Folder 37-38,1961-1962,b3f37-38.jpg,,1961,1962,99
b3f39-41,Box 3 Folder 39-41,1962-1963,b3f39-41.jpg,,1962,1963,99
b3f42-44,Box 3 Folder 42-44,1963-1964,b3f42-44.jpg,,1963,1964,99
b3f45-48,Box 3 Folder 45-48,1964-1965,b3f45-48.jpg,,1964,1965,99
b4f49-52,Box 4 Folder 49-52,1965-1966,b4f49-52.jpg,,1965,1966,99
b4f53-54,Box 4 Folder 53-54,1966-1967,b4f53-54.jpg,,1966,1967,99
b4f55-56,Box 4 Folder 55-56,1967-1968,b4f55-56.jpg,,1967,1968,99
b4f57-58,Box 4 Folder 57-58,1968-1969,b4f57-58.jpg,,1968,1969,99
b4f59-60,Box 4 Folder 59-60,1969-1970,b4f59-60.jpg,,1969,1970,99
b5f61-64,Box 5 Folder 61-64,1970-1971,b5f61-64.jpg,,1970,1971,99
b5f65-66,Box 5 Folder 65-66,1971-1972,b5f65-66.jpg,,1971,1972,99
b16f208-210,Box 16 Folder 208-210,1972-1973,b16f208-210.jpg,,1972,1973,99
b16f211-214,Box 16 Folder 211-214,1973-1974,b16f211-214.jpg,,1973,1974,99
b16f215-217,Box 16 Folder 215-217,1974-1975,b16f215-217.jpg,,1974,1975,99
b16f218-219,Box 16 Folder 218-219,1975-1976,b16f218-219.jpg,,1975,1976,99
b17f220-221,Box 17 Folder 220-221,1975-1976,b17f220-221.jpg,,1975,1976,99
b17f222-226,Box 17 Folder 222-226,1976-1977,b17f222-226.jpg,,1976,1977,99
b17f227-231,Box 17 Folder 227-231,1977-1978,b17f227-231.jpg,,1977,1978,99
b18f232-235,Box 18 Folder 232-235,1978-1979,b18f232-235.jpg,,1978,1979,99
b5f67-69,Box 5 Folder 67-69,1979-1980,b5f67-69.jpg,,1979,1980,99
b5f70-74,Box 5 Folder 70-74,1980-1981,b5f70-74.jpg,,1980,1981,99
b6f75-78,Box 6 Folder 75-78,1981-1982,b6f75-78.jpg,,1981,1982,99
b6f79-82,Box 6 Folder 79-82,1982-1983,b6f79-82.jpg,,1982,1983,99
b6f83-86,Box 6 Folder 83-86,1983-1984,b6f83-86.jpg,,1983,1984,99
b18f237,Box 18 Folder 237,1983-1984,b18f237.jpg,,1983,1984,99
b7f87-91,Box 7 Folder 87-91,1984-1985,b7f87-91.jpg,,1984,1985,99
b7f92-95,Box 7 Folder 92-95,1985-1986,b7f92-95.jpg,,1985,1986,99
b7f96,Box 7 Folder 96,1986-1987,b7f96.jpg,,1986,1987,99
b8f97-100,Box 8 Folder 97-100,1986-1987,b8f97-100.jpg,,1986,1987,99
b8f101-104,Box 8 Folder 101-104,1987-1988,b8f101-104.jpg,,1987,1988,99
b8f105-106,Box 8 Folder 105-106,1988-1989,b8f105-106.jpg,,1988,1989,99
b9f107-108,Box 9 Folder 107-108,1988-1989,b9f107-108.jpg,,1988,1989,99
b9f109-112,Box 9 Folder 109-112,1989-1990,b9f109-112.jpg,,1989,1990,99
b9f113-114,Box 9 Folder 113-114,1990-1991,b9f113-114.jpg,,1990,1991,99
b10f115-117,Box 10 Folder 115-117,1990-1991,b10f115-117.jpg,,1990,1991,99
b10f118-120,Box 10 Folder 118-120,1991-1992,b10f118-120.jpg,,1991,1992,99
b10f121-125,Box 10 Folder 121-125,1992-1993,b10f121-125.jpg,,1992,1993,99
b18f236,Box 18 Folder 236,1992-1993,b18f236.jpg,,1992,1993,99
b11f126-129,Box 11 Folder 126-129,1993-1994,b11f126-129.jpg,,1993,1994,99
b11f130-134,Box 11 Folder 130-134,1994-1995,b11f130-134.jpg,,1994,1995,99
b11f135,Box 11 Folder 135,1995-1996,b11f135.jpg,,1995,1996,99
b12f136-139,Box 12 Folder 136-139,1995-1996,b12f136-139.jpg,,1995,1996,99
b12f140-144,Box 12 Folder 140-144,1996-1997,b12f140-144.jpg,,1996,1997,99
b12f145-147,Box 12 Folder 145-147,1997-1998,b12f145-147.jpg,,1997,1998,99
b12f148-149,Box 12 Folder 148-149,1998-1999,b12f148-149.jpg,,1998,1999,99
b13f150-151,Box 13 Folder 150-151,1998-1999,b13f150-151.jpg,,1998,1999,99
b13f152-156,Box 13 Folder 152-156,1999-2000,b13f152-156.jpg,,1999,2000,99
b13f157-161,Box 13 Folder 157-161,2000-2001,b13f157-161.jpg,,2000,2001,99
b14f162,Box 14 Folder 162,2000-2001,b14f162.jpg,,2000,2001,99
b14f163-167,Box 14 Folder 163-167,2001-2002,b14f163-167.jpg,,2001,2002,99
b14f168-172,Box 14 Folder 168-172,2002-2003,b14f168-172.jpg,,2002,2003,99
b14f173-175,Box 14 Folder 173-175,2003-2004,b14f173-175.jpg,,2003,2004,99
b15f176-178,Box 15 Folder 176-178,2003-2004,b15f176-178.jpg,,2003,2004,99
b15f179-183,Box 15 Folder 179-183,2004-2005,b15f179-183.jpg,,2004,2005,99
b15f184-187,Box 15 Folder 184-187,2005-2006,b15f184-187.jpg,,2005,2006,99
b19f188,Box 19 Folder 188,2005-2006,b19f188.jpg,,2005,2006,99
b19f189-193,Box 19 Folder 189-193,2006-2007,b19f189-193.jpg,,2006,2007,99
b19f194-198,Box 19 Folder 194-198,2007-2008,b19f194-198.jpg,,2007,2008,99
b20f199,Box 20 Folder 199,2007-2008,b20f199.jpg,,2007,2008,99
b20f200-207,Box 20 Folder 200-207,2008-2009,b20f200-207.jpg,,2008,2009,99
b20f208,Box 20 Folder 208,2009-2010,b20f208.jpg,,2009,2010,99
